id,a_id,movie_name,year,torrent_id,quality
2255,1305,Truman,2015,7158EA3C6FC3D4C0D59006CAB6D30780B39A3140,720p BluRay
2256,1305,Truman,2015,0EC721237E4BAD4E7E3E3E5D21B67F0DEDB5608E,1080p BluRay
2257,1306,Trumbo,2015,5BB1801AD86404F4F0C6070F396EBAD388AF5B27,720p BluRay
2258,1306,Trumbo,2015,DBF42EF51FC9FB6CE8CF8AF33C718574C19E6111,1080p BluRay
2259,1307,Truth,2015,33AAEB10B7D06371F028D0703AA4B52B9555165A,720p BluRay
2260,1307,Truth,2015,124B0024108F38127241CB6833B8281F99C26C2B,1080p BluRay
2261,1308,Tumbledown,2015,1BA3073889E76A7DA1587BCAD28D01888CAFA622,720p BluRay
2262,1308,Tumbledown,2015,875D7B9F1B44CB08DCDE50C095DEAA83D28CC192,1080p BluRay
2263,1309,Victor Frankenstein,2015,17C427E7683E90F55716F6EA1337C9C177C6274C,720p BluRay
2264,1309,Victor Frankenstein,2015,A2AEBAB31863D16B87D029D7EB7343183ADA11C8,1080p BluRay
2265,1309,Victor Frankenstein,2015,749D5E09F54A8B7B841EADE267359D48A8E1B3E9,2160p WEB
2266,1310,Victoria,2015,09C4B72684192CE739727BE3722DD7563A665111,720p BluRay
2267,1310,Victoria,2015,7EE03F2C408E89536CCDB2AABCCC71F472D2D6A3,1080p BluRay
2268,1311,Vacation,2015,B068BCC4E56C7A9A79D1657CEC61AB075F7D6946,720p BluRay
2269,1311,Vacation,2015,A6831D6920A15FBB939941109410C12334469EFF,1080p BluRay
2270,1312,Unfinished Business,2015,850ABF17B1695A680212B0C5D497D4A33B3CC28D,720p BluRay
2271,1312,Unfinished Business,2015,C446FE9F7F59053F12E1903C3163FA3555207666,1080p BluRay
2272,1313,We Are Your Friends,2015,897ED1F617020C214EAEF4C256FBCD42512B64A5,720p BluRay
2273,1313,We Are Your Friends,2015,CB5FA30E718E9B096703A8AED244E2893B625987,1080p BluRay
2274,1314,Wild Card,2015,AFF68AE577D62F02B26E70A763987EDC69C03C7F,720p BluRay
2275,1314,Wild Card,2015,A71C695155F17FCBA7C9F5097C1DA2E8B84940E4,1080p BluRay
2276,1315,Woman in Gold,2015,2BE9595BC6FCA45C93D1D5651362105CA4B19692,720p BluRay
2277,1315,Woman in Gold,2015,FCA5C4C46B69C5A4714FCCBDECD48F94A3321C14,1080p BluRay
2278,1318,Deep in the Heart: A Texas Wildlife Story,2022,E688DBEE1CF8EB76890AA53AD94E89E3EF514ADF,720p WEB
2279,1318,Deep in the Heart: A Texas Wildlife Story,2022,A5A068FE4A2AC729201F59540823BBFCE890B2DE,1080p WEB
2280,1318,Deep in the Heart: A Texas Wildlife Story,2022,EAC2D426C05B5A336BC23372F0E4C64577049164,2160p WEB
2281,1319,Where the Crawdads Sing,2022,8E8FF83FBBBC3B2CF49650F99FA09CCEF3570C6B,720p BluRay
2282,1319,Where the Crawdads Sing,2022,1164A2C8CDB067CDDFAAA887F3F2E31CE91E6BCD,1080p BluRay
2283,1319,Where the Crawdads Sing,2022,4F0426F2FAB61D439BFE524E356BC73FFCB54B21,2160p WEB
2284,1320,The Roundup,2022,A42B63B76A84E110F185005B44A2428F05965B3E,720p WEB
2285,1320,The Roundup,2022,22EDE36ECB57A0DCC0AFFF654D7A673A2ED28C79,1080p WEB
2286,1321,The Outlaws,2017,E86CE36FA934B56A05509F30C98B2BA2F969858B,720p BluRay
2287,1321,The Outlaws,2017,96BD2EA42FFF68C45F865CBB01C52850C3ACB005,1080p BluRay
2288,1322,Mrs. Harris Goes to Paris,2022,BE3D0F4BC57930ABFE0282990507558E833C1722,720p BluRay
2289,1322,Mrs. Harris Goes to Paris,2022,CD8BAF68DE96DC3DBDE3C7B76EEB0D2E2ECE0FEE,1080p BluRay
2290,1322,Mrs. Harris Goes to Paris,2022,A487F7E987F14683806B8D3C12FC35FA17875E38,720p WEB
2291,1322,Mrs. Harris Goes to Paris,2022,4DDFD22CBA1744285229175CB244994CB1FBAAD8,1080p WEB
2292,1322,Mrs. Harris Goes to Paris,2022,F94F319776C23C7304EA6C645595C6456F36A054,2160p WEB
2293,1323,Gone in the Night,2022,B542F863282629A647AAA698377FE00513E477FB,720p WEB
2294,1323,Gone in the Night,2022,1962AE7A243B9B7B044777CFE0EAB15D861F82F2,1080p WEB
2295,1326,The Big Bull,2021,74669688CB2B6FC11734079522E28E36D065A8E0,720p WEB
2296,1326,The Big Bull,2021,FA254D1E300EDB5C262BF4824DA4539847644E3E,1080p WEB
2297,1327,Summer Ghost,2021,E8A4A546DED53D61C8CCEC47CEB773F8D41B40F8,720p BluRay
2298,1327,Summer Ghost,2021,10781844FC514969384391F48B4B214169255C83,1080p BluRay
2299,1328,Good Luck Jerry,2022,28859E2E48168766D88C1916806A0260565FECA2,720p WEB
2300,1328,Good Luck Jerry,2022,2025EA942266F443B0A2325553A10D1ABBD3D15B,1080p WEB
2301,1330,Alone Together,2022,09C97C6E6EF613EE36D39AADF306210DF4EFA26D,720p WEB
2302,1330,Alone Together,2022,0D1F1AD0AE7CA239CEF14743D0B0FBDCC8D6BE13,1080p WEB
2303,1331,DC League Of Super-Pets,2022,A6F57DB65A206B2E5D187632B8F72CA2ED551371,720p BluRay
2304,1331,DC League Of Super-Pets,2022,D4FB8069F6B76A3F2C78373EC48D42F6577889EB,1080p BluRay
2305,1331,DC League Of Super-Pets,2022,400538F31363C6C3B8CF6AA0FB88C92AA75ECAE8,720p WEB
2306,1331,DC League Of Super-Pets,2022,F6A89CC3CD55FE1822B77B84B5CF986752A15EEE,1080p WEB
2307,1331,DC League Of Super-Pets,2022,503388FDAA86C187D197418F0B4181F7B09F2E3F,2160p WEB
2308,1332,Honor Society,2022,8699ACC7AA717DCFCABA9ECE750A6E6FDBA5B908,720p WEB
2309,1332,Honor Society,2022,764195639D501C7DAF60310428D8DC118D5C0E67,1080p WEB
